#CNTAS Song Sat Jul 19 07:55:56 2014 
#USER: Song 
#DATE: Sat Jul 19 07:55:56 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=om, start=10, step=0.2, end=350, time=5)
#STEPS: om = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=   10.00 
#ANGLES:        s2th=  -59.31         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.64     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     51.40          3          0     6298.0        5.0     106031      0.000      0.000
     51.60          9          2     6383.0      5.008     106032      0.000      0.000
     51.80         10          0     6244.0        5.0     106033      0.000      0.000
     52.00          5          2     6275.0        5.0     106034      0.000      0.000
     52.20          4          0     6221.0        5.0     106035      0.000      0.000
     52.40          3          1     6181.0        5.0     106036      0.000      0.000
     52.60          8          1     6371.0        5.0     106037      0.000      0.000
     52.80          4          2     6340.0        5.0     106038      0.000      0.000
     53.00          5          3     6218.0        5.0     106039      0.000      0.000
     53.20          6          1     6196.0        5.0     106040      0.000      0.000
     53.40          3          0     6302.0        5.0     106041      0.000      0.000
     53.60          0          0     6228.0        5.0     106042      0.000      0.000
     53.80          3          0     6242.0        5.0     106043      0.000      0.000
     54.00          4          1     6335.0        5.0     106044      0.000      0.000
     54.20          7          2     6260.0        5.0     106045      0.000      0.000
     54.40          2          0     6365.0        5.0     106046      0.000      0.000
     54.60          8          0     6293.0        5.0     106047      0.000      0.000
     54.80          5          0     6212.0        5.0     106048      0.000      0.000
     55.00          2          0     6350.0        5.0     106049      0.000      0.000
     55.20          8          0     6204.0        5.0     106050      0.000      0.000
     55.40          5          0     6232.0        5.0     106051      0.000      0.000
     55.60          6          1     6179.0        5.0     106052      0.000      0.000
     55.80          5          0     6202.0        5.0     106053      0.000      0.000
     56.00          8          0     6244.0        5.0     106054      0.000      0.000
     56.20          7          1     6222.0        5.0     106055      0.000      0.000
     56.40          5          0     6415.0        5.0     106056      0.000      0.000
     56.60          2          1     6339.0      5.008     106057      0.000      0.000
     56.80          3          1     6329.0        5.0     106058      0.000      0.000
     57.00          3          1     6422.0        5.0     106059      0.000      0.000
     57.20          4          0     6348.0        5.0     106060      0.000      0.000
     57.40          3          1     6303.0        5.0     106061      0.000      0.000
     57.60          6          1     6182.0        5.0     106062      0.000      0.000
     57.80          8          0     6374.0        5.0     106063      0.000      0.000
     58.00          3          1     6507.0        5.0     106064      0.000      0.000
     58.20          6          2     6298.0        5.0     106065      0.000      0.000
     58.40          8          2     6336.0        5.0     106066      0.000      0.000
     58.60          6          1     6249.0        5.0     106067      0.000      0.000
     58.80          6          1     6404.0        5.0     106068      0.000      0.000
