#CNTAS Song Sat Jul 19 01:06:59 2014 
#USER: Song 
#DATE: Sat Jul 19 01:06:59 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=om, start=350, step=0.2, end=10, time=5)
#STEPS: om = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  350.00 
#ANGLES:        s2th=  -59.32         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.65     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    308.60         10          4     6326.0        5.0     104330      0.001      0.000
    308.40          7          1     6312.0        5.0     104331      0.000      0.000
    308.20          8          6     6246.0        5.0     104332      0.001      0.000
    308.00          5          2     6255.0        5.0     104333      0.000      0.000
    307.80          5          2     6668.0        5.0     104334      0.000      0.000
    307.60          4          0     6373.0        5.0     104335      0.000      0.000
    307.40          5          0     6330.0        5.0     104336      0.000      0.000
    307.20          2          0     6308.0        5.0     104337      0.000      0.000
    307.00          2          0     6307.0        5.0     104338      0.000      0.000
    306.80          0          0     6380.0        5.0     104339      0.000      0.000
    306.60          1          0     6386.0        5.0     104340      0.000      0.000
    306.40          4          0     6258.0        5.0     104341      0.000      0.000
    306.20          3          0     6322.0        5.0     104342      0.000      0.000
    306.00          4          0     6505.0        5.0     104343      0.000      0.000
    305.80          3          1     6464.0        5.0     104344      0.000      0.000
    305.60          5          1     6289.0        5.0     104345      0.000      0.000
    305.40          3          1     6499.0        5.0     104346      0.000      0.000
    305.20          3          2     6383.0        5.0     104347      0.000      0.000
    305.00          5          2     6323.0        5.0     104348      0.000      0.000
    304.80          2          0     6379.0        5.0     104349      0.000      0.000
    304.60          4          0     6208.0        5.0     104350      0.000      0.000
    304.40          1          0     6396.0        5.0     104351      0.000      0.000
    304.20          2          0     6234.0        5.0     104352      0.000      0.000
    304.00          2          0     6341.0        5.0     104353      0.000      0.000
    303.80          1          0     6262.0        5.0     104354      0.000      0.000
    303.60          5          1     6231.0        5.0     104355      0.000      0.000
    303.40          3          0     6293.0        5.0     104356      0.000      0.000
    303.20          2          1     6282.0        5.0     104357      0.000      0.000
    303.00          2          0     6331.0        5.0     104358      0.000      0.000
    302.80          3          0     6307.0        5.0     104359      0.000      0.000
    302.60          5          0     6332.0      5.008     104360      0.000      0.000
    302.40          3          0     6431.0        5.0     104361      0.000      0.000
    302.20          3          0     6310.0        5.0     104362      0.000      0.000
    302.00          4          0     6369.0        5.0     104363      0.000      0.000
    301.80          4          2     6384.0        5.0     104364      0.000      0.000
    301.60          2          0     6285.0        5.0     104365      0.000      0.000
    301.40          7          1     6433.0        5.0     104366      0.000      0.000
    301.20          4          1     6351.0        5.0     104367      0.000      0.000
